gene	inheritance
COL4A3	AD/AR
COL4A4	AD/AR
COL4A5	XL
COL4A6	XL
COL5A1	AD
COL5A2	AD
COL6A1	AD/AR
COL6A2	AD/AR
COL6A3	AD/AR
COL7A1	AD/AR
COL8A2	AD
COL9A1	AR
COL9A2	AR
COL9A3	AR
COLEC10	AR
COLEC11	AR
COLGALT1	AR
COLQ	AR
COMP	AD
COMT	AD
COPA	AD
COPB1	AD
COPB2	AD/AR
COPG1	AR
COQ2	AR
COQ4	AR
COQ5	AR
COQ6	AR
COQ7	AR
COQ8A	AR
COQ8B	AR
COQ9	AR
CORIN	AD/AR
CORO1A	AR
COX10	AR
COX11	AR
COX14	AR
COX15	AR
COX16	AR
COX20	AR
COX4I1	AR
COX4I2	AR
COX5A	AR
COX6A1	AR
COX6A2	AR
COX6B1	AR
COX7B	XL
COX8A	AR
CP	AR
CPA6	AR
CPAMD8	AR
CPE	AR
CPLANE1	AR
CPLX1	AR
CPN1	AR
CPOX	AD/AR
CPS1	AR
CPSF1	AD
CPSF3	AR
CPT1A	AR
CPT1C	AD
CPT2	AR
CR2	AR
CRADD	AR
CRAT	AR
CRB1	AD/AR
CRB2	AR
CRBN	AR
CREB3L1	AR
CREB3L3	AD
CREBBP	AD
CRELD1	AD/AR
CRIPT	AR
CRLF1	AR
CRLS1	AR
CRPPA	AR
CRTAP	AR
CRX	AD/AR
CRY1	AD
CRYAA	AD/AR
CRYAB	AD
CRYBA1	AD
CRYBA2	AD
CRYBA4	AD
CRYBB1	AD/AR
CRYBB2	AD
CRYBB3	AD/AR
CRYGB	AD
CRYGC	AD
CRYGD	AD
CRYGS	AD
CRYM	AD
CSF1R	AD/AR
CSF2RA	XL
CSF2RB	AR
CSF3R	AR
CSGALNACT1	AR
CSNK1D	AD
CSNK2A1	AD
CSNK2B	AD
CSPP1	AR
CSRP3	AD
CST3	AD
CST6	AR
CSTA	AR
CSTB	AR
CSTF2	XL
CT55	XL
CTBP1	AD
CTC1	AR
CTCF	AD
CTDP1	AR
CTH	AR
CTHRC1	AD
CTLA4	AD
CTNNA1	AD
CTNNA2	AR
CTNNA3	AD
CTNNB1	AD
CTNNBL1	AR
CTNND1	AD
CTNS	AR
CTPS1	AR
CTSA	AR
CTSB	AD
CTSC	AR
CTSD	AR
CTSF	AR
CTSK	AR
CTU2	AR
CUBN	AR
CUL3	AD
CUL4B	XL
CUL7	AR
CUX1	AD
CUX2	AD
CWC27	AR
CWF19L1	AR
CXCR4	AD
CYB561	AR
CYB5A	AR
CYB5R3	AR
CYBA	AR
CYBB	XL
CYBC1	AR
CYC1	AR
CYCS	AD
CYFIP2	AD
CYLC1	XL
CYLD	AD
CYP11A1	AD/AR
CYP11B1	AD/AR
CYP11B2	AD/AR
CYP17A1	AR
CYP19A1	AD/AR
CYP1A2	AD
CYP1B1	AR
CYP21A2	AR
CYP24A1	AR
CYP26B1	AR
CYP26C1	AR
CYP27A1	AR
CYP27B1	AR
CYP2A6	AD
CYP2B6	AD
CYP2C19	AD
CYP2C8	AD/AR
CYP2C9	AD
CYP2D6	AD
CYP2R1	AR
CYP2U1	AR
CYP3A4	AD
CYP3A5	AD
CYP4F2	AD
CYP4F22	AR
CYP4V2	AR
CYP7B1	AR
CYTB	MT
D2HGDH	AR
DAAM2	AR
DAB1	AD
DACT1	AD
DAG1	AR
DAGLA	AD
DALRD3	AR
DAND5	AR
DAP3	AR
DARS1	AR
DARS2	AR
DAW1	AR
DBH	AR
DBR1	AR
DBT	AR
DCAF17	AR
DCAF8	AD
DCC	AD/AR
DCDC2	AR
DCHS1	AD/AR
DCLRE1B	AR
DCLRE1C	AR
DCN	AD
DCPS	AR
DCT	AR
DCTN1	AD
DCX	XL
DCXR	AR
DDB1	AD
DDB2	AR
DDC	AR
DDHD1	AR
DDHD2	AR
DDOST	AR
DDR2	AD
DDRGK1	AR
DDX11	AR
DDX3X	XL
DDX41	AD
DDX58	AD
DDX59	AR
DDX6	AD
DEAF1	AD/AR
DECR1	AR
DEF6	AR
DEGS1	AR
DENND5A	AR
DEPDC5	AR
DES	AD/AR
DGAT1	AR
DGCR2	AD
DGKE	AR
DGUOK	AR
DHCR24	AR
DHCR7	AR
DHDDS	AD/AR
DHFR	AR
DHH	AD/AR
DHODH	AR
DHPS	AR
DHRSX	AR
DHTKD1	AD/AR
DHX16	AD
DHX30	AD
DHX37	AD/AR
DHX38	AR
DHX9	AD
DIABLO	AD
DIAPH1	AD
DIAPH2	XL
DIAPH3	AD
DICER1	AD
DIO1	AD
DIP2B	AD
DIS3L2	AR
DKC1	XL
DLAT	AR
DLD	AR
DLG3	XL
DLG4	AD
DLG5	AR
DLL1	AD
DLL3	AR
DLL4	AD
DLST	AD
DLX3	AD
DLX4	AD
DLX5	AD/AR
DMD	XL
DMGDH	AR
DMP1	AR
DMPK	AD/AR
DMXL2	AR
DNA2	AD/AR
DNAAF1	AR
DNAAF11	AR
DNAAF2	AR
DNAAF3	AR
DNAAF4	AR
DNAAF5	AR
DNAAF6	XL
DNAH1	AR
DNAH10	AR
DNAH11	AR
DNAH17	AR
DNAH2	AR
DNAH5	AR
DNAH7	AR
DNAH8	AR
DNAH9	AR
DNAI1	AR
DNAI2	AR
DNAJB11	AD
DNAJB13	AR
DNAJB2	AR
DNAJB4	AR
DNAJB6	AD
DNAJC12	AR
DNAJC13	AD
DNAJC19	AR
DNAJC21	AR
DNAJC3	AR
