gene	inheritance
WDR73	AR
WDR81	AR
WDR83OS	AR
WEE2	AR
WFDC2	AR
WFS1	AR
WHRN	AR
WIPF1	AR
WIPI2	AR
WNK1	AD/AR
WNK3	XL
WNK4	AD
WNT1	AD/AR
WNT10A	AR
WNT10B	AD/AR
WNT2B	AR
WNT3	AR
WNT4	AD/AR
WNT5A	AD
WNT7A	AR
WRAP53	AR
WRN	AR
WT1	AD
WWOX	AR
XDH	AR
XIAP	XL
XIST	XL
XK	XL
XPA	AR
XPC	AR
XPNPEP2	XL
XPNPEP3	AR
XPR1	AD
XRCC1	AR
XRCC2	AR
XRCC4	AR
XYLT1	AR
XYLT2	AR
YAP1	AD
YARS1	AR
YARS2	AR
YEATS2	AD
YIF1B	AR
YIPF5	AR
YME1L1	AR
YWHAG	AD
YWHAZ	AD
YY1	AD
YY1AP1	AR
ZAP70	AR
ZBTB11	AR
ZBTB16	AR
ZBTB18	AD
ZBTB20	AD
ZBTB24	AR
ZBTB42	AR
ZBTB7A	AD
ZC3H14	AR
ZC4H2	XL
ZCCHC8	AD
ZDHHC15	XL
ZDHHC9	XL
ZEB1	AD
ZEB2	AD
ZFHX2	AD
ZFHX3	AD
ZFP36L2	AR
ZFP57	AD
ZFPM2	AD
ZFX	XL
ZFYVE19	AR
ZFYVE26	AR
ZFYVE27	AD
ZIC1	AD
ZIC2	AD
ZIC3	XL
ZIM2	AD
ZMIZ1	AD
ZMPSTE24	AD/AR
ZMYM2	AD
ZMYM3	XL
ZMYND10	AR
ZMYND11	AD
ZMYND15	AR
ZNF141	AR
ZNF142	AR
ZNF148	AD
ZNF292	AD
ZNF335	AR
ZNF341	AR
ZNF407	AR
ZNF408	AD/AR
ZNF41	XL
ZNF423	AD/AR
ZNF462	AD
ZNF469	AR
ZNF480	AD
ZNF513	AR
ZNF526	AR
ZNF565	AD
ZNF592	AR
ZNF644	AD
ZNF668	AR
ZNF674	XL
ZNF687	AD
ZNF699	AR
ZNF711	XL
ZNF750	AD
ZNF808	AR
ZNF81	XL
ZNF862	AD
ZNFX1	AR
ZNHIT3	AR
ZP1	AR
ZP2	AR
ZP3	AD
ZPBP	AR
ZPR1	AR
ZRSR2	XL
ZSCAN10	AR
ZSWIM6	AD
ZSWIM7	AR
