gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	ba1_threshold	af_basis	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	ps1	ps1_splice	source_vcep	cspec_url	notes
RPE65	AR					0.0008	0.008		not_applicable						applicable	applicable	noncanonical	Leber Congenital Amaurosis/early onset Retinal Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN120	GN120 Released; BS1: multiple cutoffs in desc — verify
RPGR	XL					0.000083	0.05	males	not_applicable		ge				applicable	applicable	noncanonical	X-linked Inherited Retinal Disease Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN106	GN106 Released
RRAS2	AD					0.00025	0.0005		not_applicable					no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN127	GN127 Released
RS1	XL					0.00002	0.0002	males	not_applicable		ge				applicable	applicable	noncanonical	X-linked Inherited Retinal Disease Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN126	GN126 Released
RUNX1	AD					0.00015	0.0015		not_applicable		ge	PM1			not_applicable	applicable	noncanonical	Myeloid Malignancy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN008	GN008 Released; BS1: multiple cutoffs in desc — verify
RYR1	AR					0.000697	0.00697		not_applicable		gt				applicable	applicable		Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN179	GN179 Released; multiple specs (kept conservative)
SCN1A	AD					0.000004	0.0002		not_applicable						applicable	applicable	noncanonical	Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN067	GN067 Released
SCN1B	AD,AR					0.0001	0.003		not_applicable						applicable	applicable	noncanonical	Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN076	GN076 Released
SCN2A	AD					0.000002	0.0001		not_applicable						applicable	applicable	noncanonical	Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN068	GN068 Released
SCN3A	AD					0.000002	0.0001		not_applicable						applicable	applicable	noncanonical	Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN069	GN069 Released
SCN8A	AD					0.000002	0.0001		not_applicable						applicable	applicable	noncanonical	Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN070	GN070 Released
SERPINC1	AD					0.0002	0.002		not_applicable						applicable	applicable		Thrombosis Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN084	GN084 Released
SGCA	AR					0.0009	0.002		not_applicable						not_applicable	applicable	noncanonical	Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN189	GN189 Released
SGCB	AR					0.0009	0.002		not_applicable						not_applicable	applicable	noncanonical	Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN184	GN184 Released
SGCD	AR					0.0009	0.002		not_applicable						not_applicable	applicable	noncanonical	Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN186	GN186 Released
SGCG	AR					0.0009	0.002		not_applicable						not_applicable	applicable	noncanonical	Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN185	GN185 Released
SHOC2	AD					0.00025	0.0005		not_applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN038	GN038 Released; multiple specs (gene-specific kept)
SLC19A3						0.0005	0.001		not_applicable					no	applicable	applicable		Mitochondrial Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN014	GN014 Released
